dt;x;y;z;a;b;c;j_cfg
0.008;3.65;-767.19;481.65;166.48;0.45;-179.68;1028
0.008;3.6538771907704994;-767.1861228092296;481.65;166.48;0.45;-179.68;1028
0.008;3.6810175261639966;-767.1589824738361;481.65;166.48;0.45;-179.68;1028
0.008;3.7546841508034885;-767.0853158491966;481.65;166.48;0.45;-179.68;1028
0.008;3.898140209311973;-766.9418597906881;481.65;166.48;0.45;-179.68;1028
0.008;4.134648846312447;-766.7053511536876;481.65;166.48;0.45;-179.68;1028
0.008;4.487473206427909;-766.3525267935721;481.65;166.48;0.45;-179.68;1028
0.008;4.979876434281356;-765.8601235657187;481.65;166.48;0.45;-179.68;1028
0.008;5.635121674495784;-765.2048783255043;481.65;166.48;0.45;-179.68;1028
0.008;6.476472071694194;-764.3635279283059;481.65;166.48;0.45;-179.68;1028
0.008;7.52719077049958;-763.3128092295004;481.65;166.48;0.45;-179.68;1028
0.008;8.81054091553494;-762.0294590844651;481.65;166.48;0.45;-179.68;1028
0.008;10.349785651423273;-760.4902143485767;481.65;166.48;0.45;-179.68;1028
0.008;12.168188122787578;-758.6718118772125;481.65;166.48;0.45;-179.68;1028
0.008;14.289011474250847;-756.5509885257492;481.65;166.48;0.45;-179.68;1028
0.008;16.735518850436076;-754.104481149564;481.65;166.48;0.45;-179.68;1028
0.008;19.530973395966274;-751.3090266040338;481.65;166.48;0.45;-179.68;1028
0.008;22.697480719183556;-748.1425192808165;481.65;166.48;0.45;-179.68;1028
0.008;26.23397794637807;-744.6060220536219;481.65;166.48;0.45;-179.68;1028
0.008;30.118004592885097;-740.721995407115;481.65;166.48;0.45;-179.68;1028
0.008;34.32629751408166;-736.5137024859184;481.65;166.48;0.45;-179.68;1028
0.008;38.83559356534475;-732.0044064346553;481.65;166.48;0.45;-179.68;1028
0.008;43.62262960205136;-727.2173703979487;481.65;166.48;0.45;-179.68;1028
0.008;48.66414247957852;-722.1758575204216;481.65;166.48;0.45;-179.68;1028
0.008;53.93686905330323;-716.9031309466968;481.65;166.48;0.45;-179.68;1028
0.008;59.41754617860246;-711.4224538213975;481.65;166.48;0.45;-179.68;1028
0.008;65.08291071085324;-705.7570892891468;481.65;166.48;0.45;-179.68;1028
0.008;70.90969950543253;-699.9303004945675;481.65;166.48;0.45;-179.68;1028
0.008;76.8746494177174;-693.9653505822827;481.65;166.48;0.45;-179.68;1028
0.008;82.95449730308482;-687.8855026969152;481.65;166.48;0.45;-179.68;1028
0.008;89.12598001691175;-681.7140199830883;481.65;166.48;0.45;-179.68;1028
0.008;95.36583441457527;-675.4741655854248;481.65;166.48;0.45;-179.68;1028
0.008;101.65079735145238;-669.1892026485477;481.65;166.48;0.45;-179.68;1028
0.008;107.95760656054887;-662.8823934394512;481.65;166.48;0.45;-179.68;1028
0.008;114.26762640947862;-656.5723735905215;481.65;166.48;0.45;-179.68;1028
0.008;120.57764625840836;-650.2623537415917;481.65;166.48;0.45;-179.68;1028
0.008;126.88766610733812;-643.952333892662;481.65;166.48;0.45;-179.68;1028
0.008;133.19768595626783;-637.6423140437322;481.65;166.48;0.45;-179.68;1028
0.008;139.5077058051976;-631.3322941948024;481.65;166.48;0.45;-179.68;1028
0.008;145.81772565412732;-625.0222743458728;481.65;166.48;0.45;-179.68;1028
0.008;152.12774550305707;-618.7122544969429;481.65;166.48;0.45;-179.68;1028
0.008;158.43776535198683;-612.4022346480133;481.65;166.48;0.45;-179.68;1028
0.008;164.74778520091658;-606.0922147990834;481.65;166.48;0.45;-179.68;1028
0.008;171.0578050498463;-599.7821949501538;481.65;166.48;0.45;-179.68;1028
0.008;177.36782489877604;-593.472175101224;481.65;166.48;0.45;-179.68;1028
0.008;183.6778447477058;-587.1621552522943;481.65;166.48;0.45;-179.68;1028
0.008;189.9878645966355;-580.8521354033646;481.65;166.48;0.45;-179.68;1028
0.008;196.29788444556527;-574.5421155544348;481.65;166.48;0.45;-179.68;1028
0.008;202.60790429449503;-568.232095705505;481.65;166.48;0.45;-179.68;1028
0.008;208.91792414342473;-561.9220758565754;481.65;166.48;0.45;-179.68;1028
0.008;215.22794399235454;-555.6120560076455;481.65;166.48;0.45;-179.68;1028
0.008;221.53796384128427;-549.3020361587157;481.65;166.48;0.45;-179.68;1028
0.008;227.84798369021402;-542.9920163097861;481.65;166.48;0.45;-179.68;1028
0.008;234.1580035391437;-536.6819964608563;481.65;166.48;0.45;-179.68;1028
0.008;240.46802338807348;-530.3719766119266;481.65;166.48;0.45;-179.68;1028
0.008;246.7780432370032;-524.0619567629968;481.65;166.48;0.45;-179.68;1028
0.008;253.08806308593296;-517.7519369140671;481.65;166.48;0.45;-179.68;1028
0.008;259.3980829348627;-511.4419170651373;481.65;166.48;0.45;-179.68;1028
0.008;265.7081027837924;-505.1318972162076;481.65;166.48;0.45;-179.68;1028
0.008;272.0181226327222;-498.8218773672778;481.65;166.48;0.45;-179.68;1028
0.008;278.32814248165187;-492.51185751834817;481.65;166.48;0.45;-179.68;1028
0.008;284.6381623305816;-486.2018376694184;481.65;166.48;0.45;-179.68;1028
0.008;290.9481821795114;-479.89181782048865;481.65;166.48;0.45;-179.68;1028
0.008;297.2582020284412;-473.58179797155884;481.65;166.48;0.45;-179.68;1028
0.008;303.5682218773709;-467.27177812262914;481.65;166.48;0.45;-179.68;1028
0.008;309.8782417263006;-460.96175827369944;481.65;166.48;0.45;-179.68;1028
0.008;316.1882615752304;-454.65173842476963;481.65;166.48;0.45;-179.68;1028
0.008;322.4982814241601;-448.34171857583993;481.65;166.48;0.45;-179.68;1028
0.008;328.8083012730899;-442.0316987269101;481.65;166.48;0.45;-179.68;1028
0.008;335.1183211220196;-435.7216788779804;481.65;166.48;0.45;-179.68;1028
0.008;341.42834097094936;-429.41165902905067;481.65;166.48;0.45;-179.68;1028
0.008;347.7383608198791;-423.1016391801209;481.65;166.48;0.45;-179.68;1028
0.008;354.0483806688089;-416.79161933119116;481.65;166.48;0.45;-179.68;1028
0.008;360.3584005177385;-410.4815994822615;481.65;166.48;0.45;-179.68;1028
0.008;366.6684203666683;-404.17157963333176;481.65;166.48;0.45;-179.68;1028
0.008;372.978440215598;-397.861559784402;481.65;166.48;0.45;-179.68;1028
0.008;379.2884600645277;-391.5515399354723;481.65;166.48;0.45;-179.68;1028
0.008;385.59847991345754;-385.2415200865425;481.65;166.48;0.45;-179.68;1028
0.008;391.90849976238724;-378.9315002376128;481.65;166.48;0.45;-179.68;1028
0.008;398.21851961131705;-372.621480388683;481.65;166.48;0.45;-179.68;1028
0.008;404.52853946024675;-366.3114605397533;481.65;166.48;0.45;-179.68;1028
0.008;410.8385593091765;-360.00144069082353;481.65;166.48;0.45;-179.68;1028
