dt;x;y;z;a;b;c;j_cfg
0.008;287.96;-220.74;472.02;166.48;0.46;-179.67;1028
0.008;287.96007613228653;-220.73992386771343;472.02;166.48;0.46;-179.67;1028
0.008;287.96060905829256;-220.73939094170746;472.02;166.48;0.46;-179.67;1028
0.008;287.9620555717374;-220.7379444282626;472.02;166.48;0.46;-179.67;1028
0.008;287.96487246634047;-220.73512753365952;472.02;166.48;0.46;-179.67;1028
0.008;287.96951653582124;-220.73048346417875;472.02;166.48;0.46;-179.67;1028
0.008;287.97644457389913;-220.72355542610086;472.02;166.48;0.46;-179.67;1028
0.008;287.98611337429355;-220.71388662570644;472.02;166.48;0.46;-179.67;1028
0.008;287.99897973072393;-220.70102026927609;472.02;166.48;0.46;-179.67;1028
0.008;288.01550043690963;-220.68449956309036;472.02;166.48;0.46;-179.67;1028
0.008;288.03613228657014;-220.66386771342982;472.02;166.48;0.46;-179.67;1028
0.008;288.06133207342486;-220.6386679265751;472.02;166.48;0.46;-179.67;1028
0.008;288.09155659119324;-220.60844340880675;472.02;166.48;0.46;-179.67;1028
0.008;288.1272626335947;-220.57273736640533;472.02;166.48;0.46;-179.67;1028
0.008;288.16890699434856;-220.53109300565143;472.02;166.48;0.46;-179.67;1028
0.008;288.21694646717435;-220.48305353282564;472.02;166.48;0.46;-179.67;1028
0.008;288.2718378457914;-220.42816215420854;472.02;166.48;0.46;-179.67;1028
0.008;288.33403792391925;-220.3659620760807;472.02;166.48;0.46;-179.67;1028
0.008;288.40400349527727;-220.29599650472272;472.02;166.48;0.46;-179.67;1028
0.008;288.4821913535849;-220.21780864641514;472.02;166.48;0.46;-179.67;1028
0.008;288.5690582925614;-220.13094170743855;472.02;166.48;0.46;-179.67;1028
0.008;288.66506110592644;-220.03493889407355;472.02;166.48;0.46;-179.67;1028
0.008;288.7706565873993;-219.92934341260073;472.02;166.48;0.46;-179.67;1028
0.008;288.88630153069937;-219.81369846930062;472.02;166.48;0.46;-179.67;1028
0.008;289.01245272954617;-219.68754727045382;472.02;166.48;0.46;-179.67;1028
0.008;289.14956697765905;-219.5504330223409;472.02;166.48;0.46;-179.67;1028
0.008;289.2980363357796;-219.40196366422037;472.02;166.48;0.46;-179.67;1028
0.008;289.4579495675608;-219.2420504324392;472.02;166.48;0.46;-179.67;1028
0.008;289.6293066841022;-219.07069331589784;472.02;166.48;0.46;-179.67;1028
0.008;289.81210768540376;-218.8878923145962;472.02;166.48;0.46;-179.67;1028
0.008;290.00635257146564;-218.69364742853435;472.02;166.48;0.46;-179.67;1028
0.008;290.21204134228776;-218.48795865771226;472.02;166.48;0.46;-179.67;1028
0.008;290.42917399787007;-218.27082600212992;472.02;166.48;0.46;-179.67;1028
0.008;290.6577505382126;-218.04224946178735;472.02;166.48;0.46;-179.67;1028
0.008;290.8977709633154;-217.80222903668457;472.02;166.48;0.46;-179.67;1028
0.008;291.1492352731785;-217.55076472682154;472.02;166.48;0.46;-179.67;1028
0.008;291.4121434678017;-217.28785653219828;472.02;166.48;0.46;-179.67;1028
0.008;291.6864955471852;-217.0135044528148;472.02;166.48;0.46;-179.67;1028
0.008;291.97229151132893;-216.72770848867106;472.02;166.48;0.46;-179.67;1028
