dt;x;y;z;a;b;c;j_cfg
0.008;406.9514599376142;-101.7485400623858;472.02;166.48;0.46;-179.67;1028
0.008;409.77260875453203;-98.92739124546793;472.02;166.48;0.46;-179.67;1028
0.008;412.5949977763683;-96.10500222363169;472.02;166.48;0.46;-179.67;1028
0.008;415.417482827323;-93.28251717267698;472.02;166.48;0.46;-179.67;1028
0.008;418.23996787827775;-90.46003212172226;472.02;166.48;0.46;-179.67;1028
0.008;421.06245292923245;-87.63754707076757;472.02;166.48;0.46;-179.67;1028
0.008;423.88493798018715;-84.81506201981284;472.02;166.48;0.46;-179.67;1028
0.008;426.70742303114184;-81.99257696885815;472.02;166.48;0.46;-179.67;1028
0.008;429.52990808209654;-79.17009191790342;472.02;166.48;0.46;-179.67;1028
0.008;432.35239313305124;-76.34760686694872;472.02;166.48;0.46;-179.67;1028
0.008;435.174878184006;-73.525121815994;472.02;166.48;0.46;-179.67;1028
0.008;437.9973632349607;-70.7026367650393;472.02;166.48;0.46;-179.67;1028
0.008;440.8198482859154;-67.8801517140846;472.02;166.48;0.46;-179.67;1028
0.008;443.64233333687014;-65.05766666312988;472.02;166.48;0.46;-179.67;1028
0.008;446.46481838782483;-62.23518161217518;472.02;166.48;0.46;-179.67;1028
0.008;449.28730343877953;-59.41269656122046;472.02;166.48;0.46;-179.67;1028
0.008;452.1097884897342;-56.59021151026576;472.02;166.48;0.46;-179.67;1028
0.008;454.9322735406889;-53.767726459311035;472.02;166.48;0.46;-179.67;1028
0.008;457.7547585916436;-50.94524140835634;472.02;166.48;0.46;-179.67;1028
0.008;460.5772436425983;-48.12275635740167;472.02;166.48;0.46;-179.67;1028
0.008;463.399728693553;-45.300271306446945;472.02;166.48;0.46;-179.67;1028
0.008;466.2222137445077;-42.47778625549225;472.02;166.48;0.46;-179.67;1028
0.008;469.0446987954624;-39.65530120453755;472.02;166.48;0.46;-179.67;1028
0.008;471.86718384641716;-36.832816153582826;472.02;166.48;0.46;-179.67;1028
0.008;474.6896688973719;-34.0103311026281;472.02;166.48;0.46;-179.67;1028
0.008;477.5121539483266;-31.187846051673404;472.02;166.48;0.46;-179.67;1028
0.008;480.33463899928125;-28.365361000718735;472.02;166.48;0.46;-179.67;1028
0.008;483.157124050236;-25.54287594976398;472.02;166.48;0.46;-179.67;1028
0.008;485.9796091011907;-22.720390898809256;472.02;166.48;0.46;-179.67;1028
0.008;488.8020941521454;-19.897905847854588;472.02;166.48;0.46;-179.67;1028
0.008;491.6245792031001;-17.07542079689989;472.02;166.48;0.46;-179.67;1028
0.008;494.4470642540548;-14.252935745945166;472.02;166.48;0.46;-179.67;1028
0.008;497.2695493050096;-11.430450694990412;472.02;166.48;0.46;-179.67;1028
0.008;500.09203435596424;-8.607965644035744;472.02;166.48;0.46;-179.67;1028
0.008;502.91451940691894;-5.785480593081047;472.02;166.48;0.46;-179.67;1028
0.008;505.73700445787364;-2.9629955421263503;472.02;166.48;0.46;-179.67;1028
0.008;508.5594895088283;-0.1405104911716819;472.02;166.48;0.46;-179.67;1028
