dt;x;y;z;a;b;c;j_cfg
0.008;103.80907405492933;-667.0309259450707;481.65;166.48;0.45;-179.68;1028
0.008;106.55163669517077;-664.2883633048293;481.65;166.48;0.45;-179.68;1028
0.008;109.46283764366001;-661.37716235634;481.65;166.48;0.45;-179.68;1028
0.008;112.55430765375243;-658.2856923462476;481.65;166.48;0.45;-179.68;1028
0.008;115.83344524967085;-655.0065547503292;481.65;166.48;0.45;-179.68;1028
0.008;119.2921613509278;-651.5478386490722;481.65;166.48;0.45;-179.68;1028
0.008;122.91882510269403;-647.9211748973061;481.65;166.48;0.45;-179.68;1028
0.008;126.70180565014034;-644.1381943498598;481.65;166.48;0.45;-179.68;1028
0.008;130.62947213843756;-640.2105278615625;481.65;166.48;0.45;-179.68;1028
0.008;134.6901937127564;-636.1498062872437;481.65;166.48;0.45;-179.68;1028
0.008;138.87233951826772;-631.9676604817323;481.65;166.48;0.45;-179.68;1028
0.008;143.16427870014232;-627.6757212998577;481.65;166.48;0.45;-179.68;1028
0.008;147.55438040355088;-623.2856195964491;481.65;166.48;0.45;-179.68;1028
0.008;152.03101377366428;-618.8089862263357;481.65;166.48;0.45;-179.68;1028
0.008;156.58254795565335;-614.2574520443467;481.65;166.48;0.45;-179.68;1028
0.008;161.19735209468885;-609.6426479053112;481.65;166.48;0.45;-179.68;1028
0.008;165.86379533594157;-604.9762046640585;481.65;166.48;0.45;-179.68;1028
0.008;170.57024682458223;-600.2697531754178;481.65;166.48;0.45;-179.68;1028
0.008;175.30507570578175;-595.5349242942183;481.65;166.48;0.45;-179.68;1028
0.008;180.05665112471075;-590.7833488752893;481.65;166.48;0.45;-179.68;1028
0.008;184.813682950851;-586.026317049149;481.65;166.48;0.45;-179.68;1028
0.008;189.57087972091787;-581.2691202790822;481.65;166.48;0.45;-179.68;1028
0.008;194.32807649098478;-576.5119235090153;481.65;166.48;0.45;-179.68;1028
0.008;199.08527326105164;-571.7547267389484;481.65;166.48;0.45;-179.68;1028
0.008;203.84247003111852;-566.9975299688815;481.65;166.48;0.45;-179.68;1028
0.008;208.59966680118538;-562.2403331988147;481.65;166.48;0.45;-179.68;1028
0.008;213.3568635712523;-557.4831364287478;481.65;166.48;0.45;-179.68;1028
0.008;218.11406034131917;-552.7259396586809;481.65;166.48;0.45;-179.68;1028
0.008;222.87125711138603;-547.9687428886141;481.65;166.48;0.45;-179.68;1028
0.008;227.62845388145286;-543.2115461185472;481.65;166.48;0.45;-179.68;1028
0.008;232.38565065151974;-538.4543493484803;481.65;166.48;0.45;-179.68;1028
0.008;237.1428474215866;-533.6971525784135;481.65;166.48;0.45;-179.68;1028
0.008;241.9000441916535;-528.9399558083466;481.65;166.48;0.45;-179.68;1028
0.008;246.6572409617204;-524.1827590382796;481.65;166.48;0.45;-179.68;1028
0.008;251.41443773178725;-519.4255622682128;481.65;166.48;0.45;-179.68;1028
0.008;256.17163450185416;-514.6683654981459;481.65;166.48;0.45;-179.68;1028
0.008;260.92883127192096;-509.9111687280791;481.65;166.48;0.45;-179.68;1028
0.008;265.6852127244668;-505.15478727553324;481.65;166.48;0.45;-179.68;1028
0.008;270.4360464826473;-500.4039535173527;481.65;166.48;0.45;-179.68;1028
0.008;275.17542527101415;-495.6645747289859;481.65;166.48;0.45;-179.68;1028
0.008;279.89744159125155;-490.9425584087485;481.65;166.48;0.45;-179.68;1028
0.008;284.59618794504365;-486.2438120549564;481.65;166.48;0.45;-179.68;1028
0.008;289.2657568340749;-481.5742431659251;481.65;166.48;0.45;-179.68;1028
0.008;293.9002407600294;-476.9397592399706;481.65;166.48;0.45;-179.68;1028
0.008;298.4937322245915;-472.34626777540853;481.65;166.48;0.45;-179.68;1028
