dt;x;y;z;a;b;c;j_cfg
0.008;-81.0;-683.0;472.02;166.48;0.46;-179.66;1028
0.008;-80.99994265610944;-682.9999426561094;472.02;166.48;0.46;-179.66;1028
0.008;-80.9995412488755;-682.9995412488755;472.02;166.48;0.46;-179.66;1028
0.008;-80.9984517149548;-682.9984517149549;472.02;166.48;0.46;-179.66;1028
0.008;-80.99632999100398;-682.996329991004;472.02;166.48;0.46;-179.66;1028
0.008;-80.99283201367963;-682.9928320136796;472.02;166.48;0.46;-179.66;1028
0.008;-80.9876137196384;-682.9876137196384;472.02;166.48;0.46;-179.66;1028
0.008;-80.9803310455369;-682.9803310455369;472.02;166.48;0.46;-179.66;1028
0.008;-80.97063992803176;-682.9706399280318;472.02;166.48;0.46;-179.66;1028
0.008;-80.9581963037796;-682.9581963037796;472.02;166.48;0.46;-179.66;1028
0.008;-80.94265610943704;-682.942656109437;472.02;166.48;0.46;-179.66;1028
0.008;-80.9236752816607;-682.9236752816607;472.02;166.48;0.46;-179.66;1028
0.008;-80.9009097571072;-682.9009097571072;472.02;166.48;0.46;-179.66;1028
0.008;-80.87401547243317;-682.8740154724331;472.02;166.48;0.46;-179.66;1028
0.008;-80.84264836429524;-682.8426483642952;472.02;166.48;0.46;-179.66;1028
0.008;-80.80646436935001;-682.80646436935;472.02;166.48;0.46;-179.66;1028
0.008;-80.76511942425412;-682.7651194242541;472.02;166.48;0.46;-179.66;1028
0.008;-80.71826946566418;-682.7182694656642;472.02;166.48;0.46;-179.66;1028
0.008;-80.66557043023683;-682.6655704302368;472.02;166.48;0.46;-179.66;1028
0.008;-80.60667825462866;-682.6066782546286;472.02;166.48;0.46;-179.66;1028
0.008;-80.54124887549632;-682.5412488754963;472.02;166.48;0.46;-179.66;1028
0.008;-80.46893822949643;-682.4689382294964;472.02;166.48;0.46;-179.66;1028
0.008;-80.38940225328561;-682.3894022532857;472.02;166.48;0.46;-179.66;1028
0.008;-80.30229688352047;-682.3022968835205;472.02;166.48;0.46;-179.66;1028
0.008;-80.20727805685765;-682.2072780568576;472.02;166.48;0.46;-179.66;1028
0.008;-80.10400170995376;-682.1040017099538;472.02;166.48;0.46;-179.66;1028
0.008;-79.99212377946542;-681.9921237794654;472.02;166.48;0.46;-179.66;1028
0.008;-79.87130020204927;-681.8713002020493;472.02;166.48;0.46;-179.66;1028
0.008;-79.74118691436192;-681.741186914362;472.02;166.48;0.46;-179.66;1028
0.008;-79.60143985305999;-681.60143985306;472.02;166.48;0.46;-179.66;1028
