(time);AXE:IP_F(1);AXE:IP_F(2);AXE:IP_F(3);AXE:IP_F(4);AXE:IP_F(5);AXE:IP_F(6);LOV:ERAG.QC[1];LOV:ERAG.QC[2];LOV:ERAG.QC[3];LOV:ERAG.QC[4];LOV:ERAG.QC[5];LOV:ERAG.QC[6];LOV:ERAG.MODEL_JC_CFG;AXE:IP(1);AXE:IP(2);AXE:IP(3);AXE:IP(4);AXE:IP(5);AXE:IP(6)
0;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
7998;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
16001;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
24000;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
32000;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
40000;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
48000;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
55999;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
64000;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
72000;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641;-81.27150726318359;-683.8890380859375;471.983154296875;166.4727172851563;0.4555842876434326;-179.6652984619141;1028;-109.1900024414063;23.15999984741211;60.84000015258789;5.690000057220459;90.62999725341797;-185.4900054931641
