dt;x;y;z;a;b;c;j_cfg
0.008;-81.0;-683.0;472.02;166.48;0.46;-179.66;1028
0.008;-80.99977418542535;-682.9997741854254;472.02;166.48;0.46;-179.66;1028
0.008;-80.9981934834028;-682.9981934834028;472.02;166.48;0.46;-179.66;1028
0.008;-80.99390300648446;-682.9939030064844;472.02;166.48;0.46;-179.66;1028
0.008;-80.98554786722241;-682.9855478672224;472.02;166.48;0.46;-179.66;1028
0.008;-80.97177317816877;-682.9717731781687;472.02;166.48;0.46;-179.66;1028
0.008;-80.95122405187564;-682.9512240518757;472.02;166.48;0.46;-179.66;1028
0.008;-80.92254560089512;-682.9225456008951;472.02;166.48;0.46;-179.66;1028
0.008;-80.8843829377793;-682.8843829377793;472.02;166.48;0.46;-179.66;1028
0.008;-80.83538117508031;-682.8353811750803;472.02;166.48;0.46;-179.66;1028
0.008;-80.77418542535023;-682.7741854253502;472.02;166.48;0.46;-179.66;1028
0.008;-80.69944080114114;-682.6994408011411;472.02;166.48;0.46;-179.66;1028
0.008;-80.60979241500517;-682.6097924150051;472.02;166.48;0.46;-179.66;1028
0.008;-80.50388537949443;-682.5038853794945;472.02;166.48;0.46;-179.66;1028
0.008;-80.380364807161;-682.380364807161;472.02;166.48;0.46;-179.66;1028
0.008;-80.23787581055699;-682.237875810557;472.02;166.48;0.46;-179.66;1028
0.008;-80.0750635022345;-682.0750635022345;472.02;166.48;0.46;-179.66;1028
0.008;-79.89057299474563;-681.8905729947456;472.02;166.48;0.46;-179.66;1028
0.008;-79.68304940064247;-681.6830494006425;472.02;166.48;0.46;-179.66;1028
0.008;-79.45113783247714;-681.4511378324771;472.02;166.48;0.46;-179.66;1028
0.008;-79.19348340280175;-681.1934834028018;472.02;166.48;0.46;-179.66;1028
0.008;-78.90873122416838;-680.9087312241684;472.02;166.48;0.46;-179.66;1028
0.008;-78.59552640912912;-680.5955264091291;472.02;166.48;0.46;-179.66;1028
0.008;-78.25251407023612;-680.2525140702361;472.02;166.48;0.46;-179.66;1028
0.008;-77.87833932004142;-679.8783393200414;472.02;166.48;0.46;-179.66;1028
0.008;-77.47164727109717;-679.4716472710971;472.02;166.48;0.46;-179.66;1028
0.008;-77.03108303595545;-679.0310830359555;472.02;166.48;0.46;-179.66;1028
0.008;-76.55529172716835;-678.5552917271683;472.02;166.48;0.46;-179.66;1028
0.008;-76.042918457288;-678.042918457288;472.02;166.48;0.46;-179.66;1028
0.008;-75.49260833886648;-677.4926083388665;472.02;166.48;0.46;-179.66;1028
0.008;-74.9030064844559;-676.9030064844559;472.02;166.48;0.46;-179.66;1028
0.008;-74.27275800660837;-676.2727580066083;472.02;166.48;0.46;-179.66;1028
0.008;-73.60050801787597;-675.600508017876;472.02;166.48;0.46;-179.66;1028
0.008;-72.8849016308108;-674.8849016308108;472.02;166.48;0.46;-179.66;1028
0.008;-72.12464428982628;-674.1246442898263;472.02;166.48;0.46;-179.66;1028
0.008;-71.31920359747235;-673.3192035974723;472.02;166.48;0.46;-179.66;1028
0.008;-70.46856937126307;-672.4685693712631;472.02;166.48;0.46;-179.66;1028
0.008;-69.57274161119848;-671.5727416111985;472.02;166.48;0.46;-179.66;1028
0.008;-68.63172031727855;-670.6317203172786;472.02;166.48;0.46;-179.66;1028
0.008;-67.64550548950328;-669.6455054895033;472.02;166.48;0.46;-179.66;1028
0.008;-66.61409712787268;-668.6140971278727;472.02;166.48;0.46;-179.66;1028
0.008;-65.53749523238676;-667.5374952323867;472.02;166.48;0.46;-179.66;1028
0.008;-64.4156998030455;-666.4156998030455;472.02;166.48;0.46;-179.66;1028
0.008;-63.2487108398489;-665.2487108398489;472.02;166.48;0.46;-179.66;1028
0.008;-62.03652834279698;-664.0365283427969;472.02;166.48;0.46;-179.66;1028
0.008;-60.77915231188972;-662.7791523118897;472.02;166.48;0.46;-179.66;1028
0.008;-59.476582747127125;-661.4765827471272;472.02;166.48;0.46;-179.66;1028
0.008;-58.12881964850919;-660.1288196485092;472.02;166.48;0.46;-179.66;1028
0.008;-56.735863016035935;-658.735863016036;472.02;166.48;0.46;-179.66;1028
0.008;-55.297712849707345;-657.2977128497073;472.02;166.48;0.46;-179.66;1028
0.008;-53.81436914952343;-655.8143691495234;472.02;166.48;0.46;-179.66;1028
0.008;-52.28583191548417;-654.2858319154842;472.02;166.48;0.46;-179.66;1028
0.008;-50.71210114758958;-652.7121011475896;472.02;166.48;0.46;-179.66;1028
0.008;-49.09317684583967;-651.0931768458397;472.02;166.48;0.46;-179.66;1028
0.008;-47.42905901023442;-649.4290590102344;472.02;166.48;0.46;-179.66;1028
0.008;-45.719747640773825;-647.7197476407738;472.02;166.48;0.46;-179.66;1028
0.008;-43.965242737457906;-645.9652427374579;472.02;166.48;0.46;-179.66;1028
0.008;-42.165544300286655;-644.1655443002867;472.02;166.48;0.46;-179.66;1028
0.008;-40.32065232926008;-642.32065232926;472.02;166.48;0.46;-179.66;1028
0.008;-38.430566824378154;-640.4305668243782;472.02;166.48;0.46;-179.66;1028
0.008;-36.49528778564092;-638.4952877856409;472.02;166.48;0.46;-179.66;1028
0.008;-34.51481521304833;-636.5148152130483;472.02;166.48;0.46;-179.66;1028
0.008;-32.48914910660042;-634.4891491066004;472.02;166.48;0.46;-179.66;1028
0.008;-30.418311107790565;-632.4183111077906;472.02;166.48;0.46;-179.66;1028
0.008;-28.30293563683835;-630.3029356368384;472.02;166.48;0.46;-179.66;1028
0.008;-26.14434155271757;-628.1443415527176;472.02;166.48;0.46;-179.66;1028
0.008;-23.943883742876125;-625.9438837428761;472.02;166.48;0.46;-179.66;1028
0.008;-21.702917094761915;-623.7029170947619;472.02;166.48;0.46;-179.66;1028
0.008;-19.422796495822837;-621.4227964958228;472.02;166.48;0.46;-179.66;1028
0.008;-17.10487683350678;-619.1048768335068;472.02;166.48;0.46;-179.66;1028
0.008;-14.750512995261658;-616.7505129952617;472.02;166.48;0.46;-179.66;1028
0.008;-12.361059868535378;-614.3610598685353;472.02;166.48;0.46;-179.66;1028
0.008;-9.937872340775797;-611.9378723407758;472.02;166.48;0.46;-179.66;1028
0.008;-7.482305299430891;-609.4823052994309;472.02;166.48;0.46;-179.66;1028
0.008;-4.995713631948476;-606.9957136319484;472.02;166.48;0.46;-179.66;1028
0.008;-2.479452225776484;-604.4794522257765;472.02;166.48;0.46;-179.66;1028
0.008;0.06512403163719682;-601.9348759683628;472.02;166.48;0.46;-179.66;1028
0.008;2.6366602528446634;-599.3633397471554;472.02;166.48;0.46;-179.66;1028
0.008;5.233801550397999;-596.766198449602;472.02;166.48;0.46;-179.66;1028
0.008;7.855193036849329;-594.1448069631507;472.02;166.48;0.46;-179.66;1028
0.008;10.49947982475075;-591.5005201752492;472.02;166.48;0.46;-179.66;1028
0.008;13.165307026654332;-588.8346929733457;472.02;166.48;0.46;-179.66;1028
0.008;15.851319755112215;-586.1486802448878;472.02;166.48;0.46;-179.66;1028
0.008;18.55616312267648;-583.4438368773235;472.02;166.48;0.46;-179.66;1028
